id,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,left_eye_x_min,left_eye_x_max,left_eye_y_min,left_eye_y_max,right_eye_x_min,right_eye_x_max,right_eye_y_min,right_eye_y_max,left_eyebrow_x,left_eyebrow_y,right_eyebrow_x,right_eyebrow_y,nose_bridge_x,nose_bridge_y,nose_tip_x,nose_tip_y,target_x,target_y
1,828,398,960,388,828,402,880,418,962,392,1016,410,844,368,996,357,918,442,921,505,12,9
2,820,403,956,394,822,408,874,424,958,398,1012,416,840,372,990,363,911,449,915,514,72,9
3,821,405,957,396,824,410,876,426,958,402,1012,420,840,375,992,363,913,452,915,515,132,9
4,820,405,957,396,824,410,876,428,958,400,1010,418,840,374,992,362,913,452,917,515,192,9
5,821,405,957,396,824,410,876,426,958,400,1012,418,839,375,992,365,913,451,917,515,252,9
6,819,407,957,397,824,410,876,424,948,404,1000,418,838,379,984,371,918,436,917,488,312,9
7,820,407,957,398,824,412,876,428,958,402,1012,422,841,376,992,366,913,455,917,517,372,9
8,820,407,957,398,822,412,876,428,958,402,1012,420,839,376,993,365,913,455,917,517,432,9
9,820,408,958,398,824,412,876,428,960,402,1014,420,840,379,993,368,915,455,917,519,492,9
10,821,409,959,399,826,412,878,430,960,402,1014,422,842,378,995,368,917,455,919,519,552,9
11,822,408,962,398,828,410,880,428,962,402,1016,422,844,378,994,367,918,456,921,519,612,9
12,823,409,963,399,830,412,882,428,962,402,1016,422,846,379,995,369,920,456,923,519,672,9
13,843,409,974,399,830,412,882,430,964,402,1016,420,846,378,997,367,922,456,924,519,732,9
14,825,410,965,399,832,412,884,430,964,402,1018,422,847,378,1000,367,924,456,926,519,792,9
15,846,409,978,399,832,412,884,428,966,402,1020,420,848,378,999,366,925,457,928,519,852,9
16,828,411,982,400,836,414,886,430,970,404,1022,422,850,379,1003,367,929,457,931,521,912,9
17,851,410,983,400,834,412,890,428,968,404,1022,422,848,377,1005,367,930,440,930,495,972,9
18,852,409,986,398,838,412,894,428,970,404,1022,420,854,379,1005,370,939,438,938,489,1032,9
19,834,410,988,398,840,412,894,428,978,402,1028,420,859,377,1010,366,937,456,938,520,1092,9
20,859,410,992,399,844,412,896,430,980,404,1032,422,864,377,1012,368,941,458,942,521,1152,9
21,862,409,994,398,844,412,898,428,982,402,1034,422,865,377,1012,370,943,458,943,521,1212,9
